id,title,category,phase,lead_weeks,priority,wedding_types,typical_cost_gbp,depends_on,guidance
dest-003,Research the country's marriage requirements,destination,just-engaged,66,essential,destination,,dest-002,"Start at GOV.UK 'Getting married abroad' for your country. Common requirements: CNI or statutory declaration, residency periods (France requires 30+ days!), translated documents, local witnesses. Rules vary hugely by country."
admin-006,Choose your wedding party,admin,just-engaged,65,recommended,uk;destination,,,"Best man, bridesmaids, ushers, flower girls. Ask people you can rely on, not just oldest friends - they'll have real jobs on the day."
venue-004,Book your venue and confirm the date,venue,big-decisions,64,essential,uk;destination,"£5,000-£11,000",venue-003,"The keystone booking - everything else dates from this. Read the contract before paying the deposit: cancellation terms, what's included, minimum numbers, payment schedule."
legal-003,Book the registrar or officiant,legal,big-decisions,64,essential,uk;destination,£400-£600,legal-002;venue-004,"Registrar attendance at an approved venue typically costs £400-£600, booked through the local council. Celebrants are £600-£1,000 plus a separate register-office legal signing."
venue-005,Review and file the venue contract,venue,big-decisions,63,essential,uk;destination,,venue-004,"Check cancellation and postponement clauses, service charge, and exactly what's included (chairs, linen, staffing). Query anything vague in writing before signing."
admin-007,Take out wedding insurance,admin,big-decisions,60,recommended,uk;destination,£50-£150,admin-002,"Buy before you pay any large deposits - it covers supplier failure, cancellation and illness. Cheap protection for a £20k event."
attire-001,Research wedding outfit styles,attire,just-engaged,60,recommended,uk;destination,,admin-004,"Save looks you love, then book boutique appointments. Go in with an open mind - most people buy something different from their Pinterest board."
photo-001,Research photographers,photography,big-decisions,60,essential,uk;destination,,admin-004,"Style first (documentary, classic, editorial), then availability, then price. Look at FULL galleries of real weddings, not just portfolio highlights - and check they've shot your venue's lighting conditions."
dest-004,Hire a local wedding planner or coordinator,destination,big-decisions,60,essential,destination,"£1,000-£3,000",dest-001,"Near-essential abroad: they know the legal process, speak the language, and vet local suppliers you can't visit. Many resort venues include one."
dest-005,Book the venue abroad,destination,big-decisions,58,essential,destination,"£3,000-£10,000",dest-004,"If you can't visit first, insist on a live video walkthrough and recent real-wedding photos. Check what happens to your deposit if travel disruption forces a date change."
dest-017,Check insurance covers a wedding abroad,destination,big-decisions,58,essential,destination,£100-£300,admin-007,Standard UK wedding insurance often excludes or limits overseas weddings - you may need a specific destination policy plus travel insurance for both of you. Check supplier-failure cover applies to foreign suppliers.
guests-002,Collect guest addresses and contacts,guests,big-decisions,56,recommended,uk;destination,,guests-001,Chase these before save-the-dates. A shared link guests fill in themselves saves weeks of texting (Confetti gives you one).
attire-002,Book bridal boutique appointments,attire,big-decisions,56,recommended,uk;destination,,attire-001,Weekend slots book weeks ahead. Take max 2-3 trusted people - a big audience makes the decision harder.
catering-001,Decide your catering approach,catering,big-decisions,56,essential,uk;destination,,venue-004,Many venues include or mandate in-house catering - check before researchingexternal  caterers. Dry-hire venues need external caterers booked much earlier.
photo-002,Book the photographer,photography,big-decisions,56,essential,uk;destination,"£1,500-£2,200",photo-001;venue-004,Good photographers book 12-18 months ahead for peak dates. This is the supplier couples most regret cutting corners on - photos are what survives the day.
stationery-001,Choose your stationery style and supplier,stationery,big-decisions,52,recommended,uk;destination,,admin-004,"Decide the route: stationer, online print (cheaper), or DIY. One consistent suite across save-the-dates, invitations and on-the-day items looks far more polished."
attire-003,Order the wedding dress,attire,big-decisions,52,essential,uk;destination,"£1,000-£2,000",attire-002,"Made-to-order dresses take 6-9 months plus alterations, hence the early deadline. Off-the-rack, sample sales and pre-loved are great faster/cheaper routes."
catering-002,Research and shortlist caterers,catering,big-decisions,52,essential,uk;destination,,catering-001,"Only needed for dry-hire venues. Compare like-for-like: per-head price including staff, equipment, linen and VAT - quotes hide different things."
photo-003,Book a videographer,photography,big-decisions,52,recommended,uk;destination,"£1,000-£1,800",venue-004,The most common 'wish we had' regret. Even a highlights-only package captures voices - the thing photos can't.
dest-006,Send save-the-dates extra early,destination,big-decisions,52,essential,destination,,dest-005,"12+ months' notice for weddings abroad - guests need to book leave and save for flights. Include destination, dates and rough cost expectations so people can decide early."
stationery-002,Order save-the-dates,stationery,big-decisions,50,optional,uk;destination,£50-£150,stationery-001,Or send digital ones free - guests only need the date and rough location. Spend the money on invitations instead if the budget is tight.
guests-003,Send save-the-dates,guests,big-decisions,48,recommended,uk;destination,,venue-004;guests-002;stationery-002,Send 9-12 months out (longer for destination weddings). Day guests only - evening guests just get invitations later.
catering-003,Book the caterer,catering,big-decisions,48,essential,uk;destination,£70-£130 per head,catering-002,UK average is £70-£130 per head for a three-course wedding breakfast including staff. Confirm the price-per-head lock: some contracts allow increases before the day.
flowers-001,Research florists and floral styles,flowers,big-decisions,48,recommended,uk;destination,,admin-004,Seasonal and local dramatically cuts cost - a May wedding full of peonies works; a December one doesn't. Save examples with rough prices attached.
music-001,Decide your entertainment,music,big-decisions,48,essential,uk;destination,,venue-004,"Band, DJ, or band-then-DJ. Check your venue's sound limiter and curfew FIRST - a 90dB limiter rules out many live bands."
honeymoon-001,Discuss honeymoon ideas and budget,honeymoon,big-decisions,48,recommended,uk;destination,,admin-002,"Straight after the wedding or a 'mini-moon' now and the big trip later? The average UK couple spends £3,500-£5,000."
music-002,Book the band or DJ,music,big-decisions,44,essential,uk;destination,"Band £1,200-£1,800 / DJ £400-£800",music-001,"Watch live or video footage before booking. Confirm set times, breaks (who plays music in them?), and space/power needs with the venue."
admin-009,Create a supplier payment schedule,admin,details,40,recommended,uk;destination,,,List every deposit and balance with its due date. Most balances land 2-6 weeks before the day - couples get caught by the pile-up. Confetti tracks these as tasks.
attire-007,Decide suits: hire or buy,attire,big-decisions,40,essential,uk;destination,,admin-006,Hire (~£100-£150 each) suits matching groups; buying (£200-£500+) makes sense for something you'll rewear. Decide who pays for the wedding party's outfits.
flowers-002,Book the florist,flowers,big-decisions,40,essential,uk;destination,"£900-£1,500",flowers-001;venue-004,"Brief them on venue, colours and budget - a good florist designs to a number. Bouquets, buttonholes, ceremony and table flowers is the standard package."
honeymoon-002,Book time off work,honeymoon,big-decisions,40,essential,uk;destination,,venue-004,"Book the wedding week AND the honeymoon, plus 1-2 days before the wedding for final jobs. Do it before colleagues take the same summer slots."
dest-011,Share guest travel and booking options,destination,big-decisions,40,essential,destination,,dest-005,A group booking or recommended flights/hotels list with price bands helps guests commit. Consider a room block at the venue and cheaper nearby options - guests are paying to attend.
dest-012,Decide which suppliers travel with you,destination,big-decisions,40,recommended,destination,,dest-004,Flying your UK photographer out (flights + 2 nights) often costs similar to booking blind locally - and you've met them. Hair/makeup and flowers are usually better sourced locally via your planner.
attire-010,Order wedding-party outfits,attire,big-decisions,36,recommended,uk;destination,£60-£150 each,admin-006,Bridesmaids' dresses have long lead times too. High-street multiway dresses in one colour are the budget-friendly crowd-pleaser.
music-003,Book ceremony and reception musicians,music,details,36,optional,uk;destination,£250-£500,legal-003,A string duo or acoustic guitarist for the ceremony and drinks reception adds a lot of atmosphere per pound.
beauty-001,Research hair and makeup artists,beauty,details,36,recommended,uk;destination,,,Look for artists whose portfolio matches YOUR hair type and skin tone. On-the-day bookings cover you plus however many of the wedding party you're treating.
honeymoon-003,Book the honeymoon,honeymoon,details,36,recommended,uk;destination,"£3,500-£5,000",honeymoon-001,Mention it's your honeymoon everywhere - upgrades happen. Booking flights+hotel as a package adds ATOL protection.
dest-010,Book your own flights and accommodation,destination,big-decisions,36,essential,destination,,dest-005,"Book in your CURRENT legal names (passports won't show a new name yet). Arrive at least 2-3 days early - some countries require it legally, and it buffers lost luggage and jet lag."
beauty-002,Book hair and makeup,beauty,details,32,recommended,uk;destination,"£150-£300 (bride), £50-£80 per bridesmaid",beauty-001,Popular artists book a year out for summer Saturdays. Confirm how many people they can do in the morning and what time they'd need to start.
transport-001,Plan wedding-day transport,transport,details,32,recommended,uk;destination,,venue-004,"Map every journey: to the ceremony, ceremony to reception (if separate), and how you leave at night. Don't forget the wedding party's journeys."
admin-010,Book wedding-night accommodation,admin,details,30,recommended,uk;destination,£100-£300,venue-004,"If your venue doesn't include a suite, book somewhere close now - wedding dates sell out local hotels."
admin-011,Arrange guest accommodation options,admin,details,30,recommended,uk;destination,,venue-004,Negotiate a group rate at 1-2 hotels near the venue and share options on your invitations or wedding info page. Guests book their own.
photo-004,Engagement shoot,photography,details,30,optional,uk;destination,£0-£200,photo-002,Often bundled free. Worth doing - you'll learn how to relax in front of their camera before the day.
dest-009,Book a UK legal ceremony (if celebrating abroad),destination,details,30,recommended,destination,£130-£200,dest-002,If you chose the legal-at-home route: a simple register office ceremony with two witnesses costs ~£57 plus notice fees. Some couples keep it secret; others make it a small family lunch.
attire-008,Order or reserve the suits,attire,details,28,essential,uk;destination,£150-£500 each,attire-007,Get everyone measured - remote groomsmen can be measured at any tailor and send numbers. Made-to-measure needs 8-12 weeks.
rings-001,Research wedding rings,attire,details,28,essential,uk;destination,,,Metal should generally match the engagement ring. Try shaped bands if the engagement ring has a low-set stone.
transport-002,Book wedding cars,transport,details,28,recommended,uk;destination,£300-£500,transport-001,Classic cars book earliest. Check the car fits the dress. A well-valeted family car with ribbons is the zero-regret budget option.
guests-004,Finalise the guest list,guests,details,26,essential,uk;destination,,guests-001,"Lock the day/evening split, plus-ones policy, and children policy before invitations print. Changing after invitations is where family friction starts."
attire-004,Choose accessories,attire,details,24,recommended,uk;destination,£150-£500,attire-003,"Shoes, veil, jewellery, hair pieces. Buy shoes before the first fitting - hem length is set to them."
catering-007,Order the wedding cake,catering,details,24,recommended,uk;destination,£300-£500,admin-004,Good cake makers book 6+ months out. A smaller display cake plus kitchen sheet cakes feeds the same crowd for less.
flowers-004,Plan décor and styling,flowers,details,24,recommended,uk;destination,"£300-£1,000",admin-004;venue-004,"Lighting changes a room more than anything else per pound - festoon, candles (check venue policy), uplighters. Decide DIY vs a stylist."
stationery-003,Order invitations,stationery,details,22,essential,uk;destination,£250-£600,stationery-001;guests-004,"Order 10% extra for mistakes and keepsakes. Proofread names, date, times and postcode twice - reprints cost more than the extras."
admin-012,Decide on a gift list or registry,admin,details,20,optional,uk;destination,,,"Gift list, honeymoon fund, charity donations or nothing - decide before invitations go out so you can include the details."
catering-004,Choose your menu,catering,details,20,essential,uk;destination,,venue-004,Pick crowd-pleasers over adventure - you're feeding 80 people with one menu. One veggie/vegan option and a kids' menu covers most needs.
catering-006,Plan the drinks package,catering,details,20,essential,uk;destination,£20-£40 per head,venue-004,"Typical formula: one drink on arrival, half a bottle of wine with the meal, a toast drink, then paid bar. Check corkage (£10-£20/bottle) if you want to supply your own."
beauty-004,Start a skincare and grooming routine,beauty,details,20,optional,uk;destination,,,"Nothing drastic near the day: no new products in the final month, no first-time facial the week before, haircuts 1-2 weeks out so they settle."
beauty-005,Brief the hen and stag organisers,beauty,details,20,optional,uk;destination,,admin-006,"Your job is only: dates you can do, budget guidance for guests, and a veto list. Then let them plan. Schedule at least 3-4 weeks before the wedding, never the weekend before."
transport-003,Arrange guest transport,transport,details,20,optional,uk;destination,£300-£600,venue-004,"A coach between ceremony, reception and town at the end of the night is money well spent for rural venues - it gets guests home and the bar takings up."
honeymoon-004,Check passports and visas,honeymoon,details,20,essential,uk;destination,,honeymoon-003,Many countries require 6 months' validity beyond your travel dates. NOTE: you cannot travel under a new married name until your passport is changed - book tickets in your current legal name.
dest-007,Obtain your Certificate of No Impediment (CNI),destination,details,20,essential,destination,£42-£100,dest-003,"For legal ceremonies in most non-Commonwealth countries: give notice at your local register office (~£42), notice is displayed 28 days, then the CNI is issued. Most countries require it issued within 3 months of the wedding - so don't do it too early either. Commonwealth destinations (Cyprus, Mauritius, Barbados...) use a statutory declaration from a solicitor instead."
catering-005,Attend the menu tasting,catering,details,18,recommended,uk;destination,,catering-004,"Usually included once numbers are confirmed. Taste wines alongside the food, and speak up about tweaks - good kitchens expect it."
legal-007,Choose ceremony readings and music,legal,details,16,recommended,uk;destination,,legal-003,"Civil ceremonies can't include religious content - your registrar will approve choices in advance. Usually 2 readings and 3-4 pieces of music (entrance, signing, exit)."
guests-005,Send invitations,guests,details,16,essential,uk;destination,,guests-004;stationery-003,"Send 3-4 months before with an RSVP deadline 6-8 weeks before the day. Include accommodation options, gift list info, dress code and your RSVP link."
rings-002,Buy the wedding rings,attire,details,16,essential,uk;destination,"£400-£1,500 (pair)",rings-001,Allow 4-6 weeks for sizing and engraving. Keep the boxes - you'll hand them to the best man on the morning.
photo-007,Book a photo booth,photography,details,16,optional,uk;destination,£300-£500,,Reliable evening entertainment and doubles as a guest book. Check it includes an attendant and unlimited prints.
flowers-005,Hire décor items,flowers,details,16,optional,uk;destination,£100-£500,flowers-004,"Arches, candle holders, table runners, signage easels. Hire beats buying for anything you'll never use again."
honeymoon-005,Vaccinations and travel health,honeymoon,details,16,recommended,uk;destination,£0-£200,honeymoon-003,Some courses need 6-8 weeks. Check NHS Fit for Travel for your destination.
honeymoon-006,Take out travel insurance,honeymoon,details,16,essential,uk;destination,£30-£100,honeymoon-003,"Buy when you book, not when you fly - it covers cancellation from the purchase date."
legal-006,Check identity documents,legal,details,14,essential,uk;destination,,,"For giving notice you'll need passport, proof of address, and decree absolute if divorced (or previous partner's death certificate if widowed). Foreign nationals may need extra documentation - check GOV.UK early."
legal-008,Ask your readers,legal,details,14,recommended,uk;destination,,legal-007,Give readers their text well in advance and tell them roughly when in the ceremony they're on. A printed copy on the day saves phone-fumbling.
dest-008,Apostille and translate your documents,destination,details,14,essential,destination,£50-£200,dest-007,"Most countries require the CNI (and sometimes birth certificates) legalised with an FCDO apostille, then officially translated. Allow 6-8 weeks for the full chain. Your local planner will confirm exactly what the registrar there wants."
admin-013,Plan the order of the day,admin,details,12,essential,uk;destination,,venue-004;catering-004,"Ceremony time, drinks reception, wedding breakfast, speeches, first dance, evening guests arriving, carriages. Your venue coordinator will help - typical UK pattern: 1pm ceremony, 3pm speeches or after meal, 7.30pm evening do."
legal-004,Give formal notice of marriage,legal,final-countdown,12,essential,uk,£70 (£35 each),venue-004,Legal requirement for civil ceremonies: give notice at your LOCAL register office at least 29 days before the wedding (you must have lived in the district 7 days). £35 per person. The resulting marriage schedule is valid 12 months. Book the appointment early - slots fill up.
attire-005,First dress fitting,attire,details,12,essential,uk;destination,£100-£300,attire-003;attire-004,"Bring your actual shoes and underwear. Typical alteration cost £100-£300 - budget for it, it's rarely included."
catering-008,Book evening food,catering,details,12,recommended,uk;destination,£8-£15 per head,catering-004,"Evening guests plus dancing = hungry crowd around 9pm. Bacon rolls, pizza van or grazing table; cater for ~75% of total evening numbers."
flowers-003,Finalise flower selections,flowers,details,12,recommended,uk;destination,,flowers-002,"Confirm final counts (buttonholes, corsages, table arrangements) once RSVP numbers and the table count are near-final."
music-004,Choose your first dance,music,details,12,recommended,uk;destination,,,"Pick something that means something - and check the length; four minutes of swaying feels long. A couple of dance lessons (£80-£150) buys confidence, not choreography."
dest-013,Check UK recognition of your marriage,destination,details,12,essential,destination,,dest-003,A marriage legally performed abroad is generally recognised in the UK without re-registering - but keep the foreign certificate safe and get a certified translation. You can deposit it with the GRO for safekeeping.
dest-014,Plan how to pay suppliers abroad,destination,details,12,recommended,destination,,dest-004,Use a fee-free multi-currency card or account for transfers - bank international payment fees add up across 6-8 suppliers. Confirm whether quotes include local taxes.
dest-016,Plan guest welcome events,destination,details,12,recommended,destination,"£300-£1,000",dest-005,Guests travelled a long way for you - a welcome drinks evening and one group activity turns the wedding into a holiday. Keep other days free; nobody wants a compulsory itinerary.
legal-005,Have banns read (Church of England),legal,final-countdown,10,essential,uk,~£50,legal-002,Only for CofE weddings: banns are read in your parish church(es) on three Sundays during the three months before the wedding. Your vicar arranges this - attend at least one reading.
guests-008,Plan children's entertainment,guests,details,10,optional,uk;destination,£0-£400,guests-004,"If children are coming: activity packs, a movie corner, or a creche service (£200-£400) buys their parents a proper evening."
flowers-006,Make DIY décor,flowers,details,10,optional,uk;destination,,flowers-004,"Be honest about time: 10 centrepieces takes a weekend, not an evening. Finish a full sample first, then batch. Recruit help."
beauty-003,Hair and makeup trial,beauty,final-countdown,10,recommended,uk;destination,£50-£100,beauty-002,Do it on a day with something on afterwards to test how it lasts. Photograph the result in daylight. Take your veil and hair accessories.
legal-009,Write your vows,legal,final-countdown,8,recommended,uk;destination,,,"If personalising: 1-2 minutes each is plenty, agree tone together (funny vs tearful), and don't share them before the day. Legal declarations still apply in civil ceremonies."
guests-006,Track and chase RSVPs,guests,final-countdown,8,essential,uk;destination,,guests-005,"Chase stragglers the week after your deadline - there are always some. Collect dietary requirements as replies come in, not after."
guests-009,Share guest travel and parking info,guests,final-countdown,8,recommended,uk;destination,,venue-004,"Postcode quirks, parking, taxi numbers for the end of the night, shuttle times if you're running one. A simple info page saves fifty identical questions."
stationery-004,Order on-the-day stationery,stationery,final-countdown,8,recommended,uk;destination,£100-£300,guests-006;catering-004,"Menus, place cards, table numbers, table plan, order of service. Needs near-final RSVPs and menu, so don't order early."
stationery-005,Order signage,stationery,final-countdown,8,optional,uk;destination,£50-£200,,"Welcome sign, order-of-the-day sign, bar menu. Nice-to-have; a good calligrapher friend or printable template does the job for a fraction of the cost."
dayof-004,Write the speeches,day-of,final-countdown,8,recommended,uk;destination,,,"5-7 minutes maximum each. Thank people, one or two stories, a toast - done. Practise out loud at least twice. Nudge the best man and father of the bride too."
venue-006,Final venue details meeting,venue,final-countdown,6,essential,uk;destination,,venue-004;admin-013,"Walk through the full day with your coordinator: timings, room layouts, supplier access times, where gifts and cards live, who's your point of contact on the day."
attire-009,Suit fittings,attire,final-countdown,6,essential,uk;destination,,attire-008,Everyone tries everything on - shoes too. Check sleeve and trouser lengths; hire shops fix issues in days if you flag them now.
photo-005,Agree the shot list and family groups,photography,final-countdown,6,recommended,uk;destination,,photo-002,Keep formal group shots to 6-8 (each takes ~5 minutes of your drinks reception). Nominate a bossy relative to gather people.
music-005,Send playlists and do-not-play list,music,final-countdown,6,recommended,uk;destination,,music-002,"Must-plays (10-15 songs), do-not-plays, first dance version, and the last song of the night. Then trust the professional to read the room."
dayof-001,Build the day-of run sheet,day-of,final-countdown,6,essential,uk;destination,,admin-013,"Minute-by-minute from hair and makeup to carriages: who, where, when, contact number. Share with venue, suppliers and wedding party. Luxe tier: Buzz generates this for you."
dest-015,Plan the dress and suit journey,destination,final-countdown,6,essential,destination,,attire-003,Never check the dress into the hold. Call the airline in advance - many allow it as carry-on in a garment bag or cabin wardrobe. Arrange local steaming on arrival; your planner will know who.
guests-007,Build the seating plan,guests,final-countdown,4,essential,uk;destination,,guests-006,"Start with the top table, then group by friendship not obligation. Keep known feuds apart. Expect to redo it at least twice as late RSVPs land."
attire-011,Break in your wedding shoes,attire,final-countdown,4,optional,uk;destination,,attire-004,Wear them around the house for an hour at a time. Your feet will thank you at hour ten of the day.
dayof-002,Confirm every supplier in writing,day-of,final-countdown,4,essential,uk;destination,,dayof-001,"One email each: date, arrival time, venue address, on-the-day contact (NOT you - a wedding party member), and outstanding balance. Keep the replies."
dayof-003,Delegate day-of roles,day-of,final-countdown,4,essential,uk;destination,,dayof-001,"Someone owns: supplier phone calls, gathering people for photos, gifts and cards security, taking décor home. You and your partner should own nothing on the day."
dayof-005,Buy wedding-party and parent gifts,day-of,final-countdown,4,optional,uk;destination,£20-£50 each,,Traditionally given at the rehearsal dinner or during speeches. Personal beats expensive.
attire-006,Final dress fitting and collection,attire,final-countdown,3,essential,uk;destination,,attire-005,"Take whoever's helping you dress on the day so they learn the fastenings. Arrange safe storage - hanging, in a breathable bag, away from curious eyes."
catering-009,Send the final dietary matrix,catering,final-countdown,3,essential,uk;destination,,guests-006,"Every allergy and requirement against a named guest and table number, sent in writing. Confetti compiles this from your RSVPs automatically."
photo-006,Send the day plan to photo and video,photography,final-countdown,3,essential,uk;destination,,admin-013,"Timings, both getting-ready addresses, supplier contact numbers, sunset time if you want golden-hour shots."
venue-007,Confirm final numbers to the venue,venue,final-countdown,2,essential,uk;destination,,guests-006,"Day and evening counts, dietary matrix, and table plan. This usually fixes your final invoice."
stationery-006,Order thank-you cards,stationery,final-countdown,2,recommended,uk;destination,£50-£150,,Order before the wedding (matching your suite) so they're ready when you're back from honeymoon. Photo cards need to wait for photos - plain ones don't.
flowers-007,Confirm setup and delivery times,flowers,final-countdown,2,essential,uk;destination,,flowers-002;venue-006,"Florist and décor suppliers need venue access times, a named contact, and to know who takes everything down. Put it all in one email."
beauty-006,Pre-wedding haircuts and colour,beauty,final-countdown,2,recommended,uk;destination,,,1-2 weeks before is the sweet spot - fresh but settled. Both partners.
transport-004,Confirm all pickup times and routes,transport,final-countdown,2,essential,uk;destination,,transport-002;admin-013,"Written confirmation: addresses, times, contact numbers both ways. Add 15 minutes of slack to every journey."
legal-010,Ceremony rehearsal,legal,final-countdown,1,recommended,uk;destination,,legal-003,"Walk the entrance order, positions and exit with the wedding party. CofE weddings usually rehearse with the vicar; civil venues often do a quick run-through at the details meeting."
beauty-007,Nails and final grooming,beauty,final-countdown,1,optional,uk;destination,£25-£60,,2-3 days before. Gel lasts the honeymoon. Book the wedding party in together and make an event of it.
honeymoon-007,Pack and sort currency,honeymoon,final-countdown,1,recommended,uk;destination,,,Pack BEFORE the wedding week chaos. A fee-free travel card beats bureau de change rates.
dayof-006,Prepare final payments and tips,day-of,final-countdown,1,essential,uk;destination,,admin-009,Pay balances due before the day by transfer; put any on-the-day cash in labelled envelopes with the best man. Tipping isn't obligatory in the UK but is appreciated for great service.
dayof-007,Assemble a wedding-day emergency kit,day-of,final-countdown,1,recommended,uk;destination,£20-£40,,"Safety pins, fashion tape, sewing kit, plasters, painkillers, stain wipes, phone chargers, snacks, tissues, spare tights, deodorant. Give it to a bridesmaid."
dayof-008,Print everything and pack the venue box,day-of,final-countdown,1,essential,uk;destination,,stationery-004,"Place cards, table plan, menus, guest book and pens, cake knife if needed, card box. One labelled crate, delivered at the venue meeting or by a delegate."
dayof-009,Hand over rings and documents,day-of,final-countdown,1,essential,uk;destination,,rings-002,Rings to the best man. For civil ceremonies your marriage schedule must be at the ceremony - confirm who's bringing it (usually the venue or registrar holds it; check).
dayof-010,Rehearsal and pre-wedding dinner,day-of,final-countdown,1,optional,uk;destination,£100-£400,legal-010,A relaxed dinner with the wedding party the night before settles everyone. Keep it early and light on the wine.
dayof-011,Enjoy the day,day-of,the-day,0,essential,uk;destination,,,Eat breakfast. Hydrate. Take one quiet moment together during the evening to stand back and watch the party you built. Everything else is someone else's job today.
after-001,Return hired items,after,after,-1,essential,uk;destination,,,"Suits, décor, cake stands - most hire terms are 2-3 days after the event before charges. Delegate this before the honeymoon."
after-002,Settle final invoices,after,after,-2,essential,uk;destination,,,Check each invoice against the quote and contract before paying. Query discrepancies politely and in writing.
after-003,Order marriage certificate copies,after,after,-2,recommended,uk;destination,£25-£38,,£12.50 per copy from the register office. Get 2-3 - banks and passport applications often want originals.
after-004,Handle name-change admin,after,after,-4,optional,uk;destination,£0 (passport renewal £88.50),after-003,"If changing: passport, driving licence, bank, HMRC, employer, GP, utilities. The marriage certificate is your evidence - no deed poll needed for taking a spouse's surname."
after-006,Review your suppliers,after,after,-4,optional,uk;destination,,,Reviews are how good wedding suppliers survive - five minutes each repays people who made your day.
after-007,Clean and preserve the dress,after,after,-4,optional,uk;destination,£100-£250,,Stains set with time - specialist cleaning within a month is best. Preservation boxing costs £100-£200 if you're keeping it; selling pre-loved is increasingly normal.
after-005,Send thank-you cards,after,after,-6,recommended,uk;destination,,,Within three months is the convention. Mention the specific gift - Confetti's gift log per guest makes this painless.
after-008,Receive and share your photos,after,after,-8,recommended,uk;destination,,,Galleries typically arrive 4-8 weeks after the day. Back them up in two places before sharing the link.
